Study,First_Author,Year,Group,n,Disease_Duration_Days,CD4,VL_Log10,Brain_Region,Metabolite,Value,SD,Measurement_Type,P_vs_Control,Notes
Sailasuta,Sailasuta,2012,Acute,31,14,428,5.51,BG,NAA,1.134,0.14,Ratio_to_Cr,0.552,HYPERACUTE - PROTECTED vs controls
Sailasuta,Sailasuta,2012,Chronic,26,NA,215,4.75,BG,NAA,1.000,0.14,Ratio_to_Cr,0.014,DECLINED vs controls
Sailasuta,Sailasuta,2012,Control,10,0,NA,NA,BG,NAA,1.077,0.13,Ratio_to_Cr,NA,Baseline reference
Sailasuta,Sailasuta,2012,Acute,31,14,428,5.51,BG,tCho,0.249,0.02,Ratio_to_Cr,0.002,Elevated - inflammation
Sailasuta,Sailasuta,2012,Chronic,26,NA,215,4.75,BG,tCho,0.233,0.02,Ratio_to_Cr,0.001,Elevated - chronic inflammation
Sailasuta,Sailasuta,2012,Control,10,0,NA,NA,BG,tCho,0.227,0.01,Ratio_to_Cr,NA,Baseline
Sailasuta,Sailasuta,2012,Acute,31,14,428,5.51,BG,MI,0.580,0.13,Ratio_to_Cr,0.898,No glial activation yet
Sailasuta,Sailasuta,2012,Chronic,26,NA,215,4.75,BG,MI,0.560,0.12,Ratio_to_Cr,0.689,
Sailasuta,Sailasuta,2012,Control,10,0,NA,NA,BG,MI,0.589,0.09,Ratio_to_Cr,NA,
Sailasuta,Sailasuta,2012,Acute,31,14,428,5.51,BG,Glx,1.963,0.34,Ratio_to_Cr,0.062,Trend toward elevation
Sailasuta,Sailasuta,2012,Chronic,26,NA,215,4.75,BG,Glx,1.807,0.23,Ratio_to_Cr,0.146,
Sailasuta,Sailasuta,2012,Control,10,0,NA,NA,BG,Glx,1.812,0.22,Ratio_to_Cr,NA,
Sailasuta,Sailasuta,2012,Acute,31,14,428,5.51,OGM,NAA,1.416,0.13,Ratio_to_Cr,0.958,Also protected in OGM
Sailasuta,Sailasuta,2012,Chronic,26,NA,215,4.75,OGM,NAA,1.415,0.12,Ratio_to_Cr,0.123,Preserved in OGM unlike BG
Sailasuta,Sailasuta,2012,Control,10,0,NA,NA,OGM,NAA,1.428,0.12,Ratio_to_Cr,NA,
Young,Young,2014,PHI,9,180,NA,NA,BG,NAA,1.125,0.2,Ratio_to_Cr,NS,Primary HIV Infection ~6mo
Young,Young,2014,Chronic,18,3650,NA,NA,BG,NAA,1.05,0.15,Ratio_to_Cr,<0.05,Chronic ~10 years
Young,Young,2014,Control,19,0,NA,NA,BG,NAA,1.15,0.15,Ratio_to_Cr,NA,HIV-negative controls
Sailasuta,Sailasuta,2016,ART_Naive,59,NA,NA,NA,BG,NAA,10.0,NA,Absolute_mM,0.001,Baseline before cART
Sailasuta,Sailasuta,2016,ART_6mo,50,NA,NA,NA,BG,NAA,11.0,NA,Absolute_mM,0.001,Increased with treatment
Sailasuta,Sailasuta,2016,ART_12mo,50,NA,NA,NA,BG,NAA,11.5,NA,Absolute_mM,0.001,Further increase
Sailasuta,Sailasuta,2016,ART_Naive,59,NA,NA,NA,FWM,NAA,12.5,NA,Absolute_mM,NS,Frontal white matter
Sailasuta,Sailasuta,2016,ART_6mo,50,NA,NA,NA,FWM,NAA,13.0,NA,Absolute_mM,NS,
Sailasuta,Sailasuta,2016,ART_12mo,50,NA,NA,NA,FWM,NAA,12.5,NA,Absolute_mM,NS,
Chang,Chang,2002,Early_HIV,15,730,184,NA,BG,NAA,7.96,0.91,Absolute_mM,<0.05,Early infection ~2 years
Chang,Chang,2002,Control,15,0,NA,NA,BG,NAA,8.76,0.79,Absolute_mM,NA,Age-matched controls
Dahmani,Dahmani,2021,Acute_Meta,146,30,NA,NA,Mixed,NAA,NA,NA,Pooled_Effect,NS,Meta-analysis: NO significant difference
Dahmani,Dahmani,2021,Chronic_Meta,943,4818,440,NA,Mixed,NAA,NA,NA,Pooled_Effect,<0.001,Meta-analysis: Significant decrease
